PMCID,in_scope,has_repo,repo_url
PMC5137302,Yes,No,
PMC5150581,Yes,No,
PMC5168628,Yes,No,
PMC5216815,Yes,No,
PMC5363942,Yes,No,
PMC5445146,No,,
PMC5513403,Yes,No,
PMC5552702,Yes,No,
PMC5656117,Yes,No,
PMC5669007,Yes,No,
PMC5689417,No,,
PMC5778304,Yes,No,
PMC5830982,Yes,No,
PMC5878665,Yes,No,
PMC5913298,Yes,No,
PMC5932311,Yes,No,
PMC5984751,Yes,No,
PMC6023168,Yes,No,
PMC6099214,Yes,No,
PMC6134519,Yes,No,
PMC6142675,Yes,No,
PMC6145288,Yes,No,
PMC6208695,Yes,No,
PMC6224088,Yes,No,
PMC6411583,Yes,No,
PMC6413892,Yes,Yes,https://github.com/dt433/Predict-Prostate
PMC6461273,Yes,Yes,https://osf.io/w7aes/
PMC6461951,No,,
PMC6598851,Yes,No,
PMC6697326,Yes,No,
PMC6701319,Yes,No,
PMC6766665,No,,
PMC6775340,Yes,No,
PMC6776831,No,,
PMC6820933,No,,
PMC6830690,Yes,No,
PMC6831119,Yes,No,
PMC6843652,No,,
PMC6844063,No,,
PMC6856574,Yes,No,
PMC6861120,Yes,No,
PMC6923478,Yes,No,
PMC6924756,No,,
PMC6937113,No,,
PMC6975559,Yes,No,
PMC7044841,No,,
PMC7066122,Yes,No,
PMC7113237,Yes,No,
PMC7113728,Yes,No,
PMC7160197,Yes,No,
PMC7170639,Yes,No,
PMC7188738,Yes,No,
PMC7207239,No,,
PMC7231515,Yes,No,
PMC7247727,Yes,No,
PMC7255373,Yes,No,
PMC7276074,Yes,No,
PMC7301283,Yes,No,
PMC7301346,No,,
PMC7337113,Yes,No,
PMC7354686,Yes,No,
PMC7365822,Yes,No,
PMC7451418,Yes,No,
PMC7496285,Yes,No,
PMC7538167,No,,
PMC7561094,Yes,No,
PMC7565069,Yes,No,
PMC7575986,Yes,No,
PMC7576846,Yes,No,
PMC7594364,No,,
PMC7653095,Yes,No,
PMC7661369,No,,
PMC7680051,Yes,No,
PMC7685362,Yes,No,
PMC7726048,Yes,No,
PMC7728276,Yes,No,
PMC7744735,Yes,No,
PMC7747548,No,,
PMC7751606,No,,
PMC7797735,Yes,Yes,https://github.com/carsaesi/covid19sdtool
PMC7818407,No,,
PMC7863262,No,,
PMC7866757,Yes,No,
PMC7867775,Yes,No,
PMC7872278,Yes,No,
PMC7873424,Yes,No,
PMC7881577,Yes,No,
PMC7892287,No,,
PMC7919279,Yes,No,
PMC7920592,Yes,No,
PMC7925864,Yes,No,
PMC7929865,No,,
PMC7931964,Yes,No,
PMC7973767,Yes,No,
PMC7985864,Yes,No,
PMC7996506,No,,
PMC8016311,No,,
PMC8038271,No,,
PMC8055833,Yes,No,
PMC8056736,No,,
PMC8060579,No,,
PMC8098967,No,,
PMC8123282,Yes,No,
PMC8137214,No,,
PMC8140840,Yes,No,
PMC8150694,Yes,No,
PMC8151048,Yes,No,
PMC8154962,Yes,No,
PMC8160164,Yes,No,
PMC8167319,Yes,No,
PMC8168827,No,,
PMC8175333,Yes,Yes,https://github.com/ATARIQ5
PMC8206419,Yes,No,
PMC8214014,Yes,No,
PMC8234813,Yes,No,
PMC8236316,Yes,No,
PMC8245142,Yes,No,
PMC8249456,Yes,No,
PMC8251727,Yes,No,
PMC8268921,Yes,No,
PMC8273655,Yes,No,
PMC8290227,Yes,No,
PMC8290951,Yes,Yes,https://github.com/mottenhoff/covid19_CDSS
PMC8292360,Yes,No,
PMC8297386,No,,
PMC8324599,No,,
PMC8339969,Yes,No,
PMC8350690,Yes,No,
PMC8353975,Yes,No,
PMC8387700,Yes,No,
PMC8392585,Yes,No,
PMC8397455,Yes,No,
PMC8414740,Yes,No,
PMC8433031,No,,
PMC8437856,Yes,No,
PMC8467006,Yes,No,
PMC8474012,Yes,No,
PMC8496026,Yes,No,
PMC8499458,No,,
PMC8503563,Yes,No,
PMC8517788,Yes,No,
PMC8554435,Yes,No,
PMC8556888,No,,
PMC8561867,No,,
PMC8576116,Yes,No,
PMC8589805,No,,
PMC8593277,Yes,Yes,https://github.com/KosorokLab/CovidIBDRiskCalc
PMC8604645,Yes,No,
PMC8606782,Yes,No,
PMC8640954,Yes,No,
PMC8664210,Yes,No,
PMC8667746,Yes,No,
PMC8697544,No,,
PMC8709125,Yes,No,
PMC8716570,Yes,No,
PMC8728456,Yes,No,
PMC8733254,No,,
PMC8734592,No,,
PMC8743458,Yes,No,
PMC8750344,Yes,No,
PMC8758153,Yes,No,
PMC8774022,Yes,No,
PMC8784888,Yes,Yes,https://github.com/AkihiroShiroshita/Prediction-model-for-Pnuemonic-COPD-exacerbation.git
PMC8846388,Yes,No,
PMC8876449,No,,
PMC8881932,Yes,Yes,https://doi.org/10.5281/zenodo.4560078
PMC8896694,Yes,No,
PMC8897319,Yes,Yes,Appendix
PMC8900043,Yes,No,
PMC8911544,Yes,No,
PMC8915487,Yes,No,
PMC8918628,Yes,No,
PMC8932251,Yes,No,
PMC8932490,Yes,Yes,https://github.com/Aneja-Lab-Yale/Aneja-Lab-Public-Adversarial-Imaging
PMC8946855,No,,
PMC8956431,Yes,No,
PMC8973680,Yes,No,
PMC8975166,Yes,No,
PMC9008968,Yes,No,
PMC9025113,No,,
PMC9043925,Yes,No,
PMC9071219,Yes,No,
PMC9084272,Yes,No,
PMC9098474,Yes,No,
PMC9108182,Yes,No,
PMC9110785,No,,
PMC9118704,No,,
PMC9156409,No,,
PMC9181412,Yes,No,
PMC9184443,Yes,No,
PMC9197836,Yes,No,
PMC9201635,Yes,No,
PMC9238543,No,,
PMC9258529,Yes,No,
PMC9260237,Yes,No,
PMC9273778,Yes,No,
PMC9296830,Yes,No,
PMC9301519,Yes,No,
PMC9319440,Yes,No,
PMC9345081,No,,
PMC9351222,No,,
PMC9368666,Yes,No,
PMC9391628,No,,
PMC9391954,No,,
PMC9392650,Yes,No,
PMC9395933,Yes,No,
PMC9403066,Yes,No,
PMC9437732,Yes,No,
PMC9438191,No,,
PMC9446682,No,,
PMC9458683,No,,
PMC9464817,Yes,No,
PMC9470135,Yes,No,
PMC9486103,No,,
PMC9489020,Yes,No,
PMC9501746,Yes,No,
PMC9519496,Yes,No,
PMC9525696,Yes,No,
PMC9530359,Yes,No,
PMC9535154,Yes,No,
PMC9562825,Yes,No,
PMC9576309,Yes,No,
PMC9576842,Yes,No,
PMC9583551,Yes,No,
PMC9598027,Yes,No,
PMC9601583,Yes,No,
PMC9624291,Yes,No,
PMC9634737,Yes,No,
PMC9646808,Yes,No,
PMC9653184,Yes,No,
PMC9653436,Yes,Yes,https://github.com/Dexin-Chen/Pathomics-analysis
PMC9668173,Yes,No,
PMC9668209,No,,
PMC9669853,Yes,No,
PMC9669875,Yes,No,
PMC9685866,Yes,Yes,https://doi.org/10.57770/QTYQZS
PMC9708506,Yes,No,
PMC9718727,Yes,Yes,Appendix
PMC9720950,Yes,Yes,https://github.com/mi-erasmusmc/EmcDementiaModelValidation
PMC9744139,Yes,Yes,Appendix
PMC9751812,No,,
PMC9755051,No,,
PMC9780725,No,,
PMC9795055,Yes,No,
PMC9796920,Yes,No,
PMC9840478,No,,
PMC9862219,Yes,No,
PMC9872743,Yes,Yes,https://github.com/JohnLeo-XJTU/PerLesionDet_for_Oph-The
PMC9891971,Yes,No,
PMC9892450,Yes,No,
PMC9898833,Yes,Yes,https://github.com/jacksoncoki/Emergency-data-processing
PMC9913376,Yes,Yes,https://github.com/LFairleySmith/MyelomaPrediction
PMC9926540,Yes,No,
PMC9931319,Yes,No,
PMC9932201,Yes,No,
PMC9937110,Yes,No,
PMC9966856,Yes,No,
PMC9971890,No,,
PMC9972034,Yes,No,
PMC9978473,Yes,Yes,https://github.com/putzfn/HNLNL_autosegmentation_trained_models
PMC9978756,Yes,No,
PMC9978899,Yes,No,
