PMID,in_scope,has_repo,repo_url
39957974,Yes,No,
39959833,Yes,Yes,https://github.com/MGensheimer/prognosis-model
39990546,Yes,No,
39984949,Yes,No,
39257289,Yes,No,
40028259,Yes,No,
40033329,Yes,No,
37536504,No,,
40226738,Yes,No,
40109952,Yes,No,
40111967,No,,
40111842,Yes,No,
40132850,Yes,Yes,https://github.com/SCYAN0401/Predict-GC-LNM
39510551,No,,
40139696,No,,
40023984,Yes,No,
40162580,Yes,No,
40171414,Yes,No,
40175890,Yes,No,
40175970,Yes,No,
40188194,Yes,No,
40216893,Yes,No,https://www.cdc.gov/nchs/nhanes/index.htm
40242314,Yes,No,
40242809,Yes,No,
40291904,Yes,No,
40291024,Yes,No,
40241520,Yes,No,
40302869,Yes,No,
40313554,Yes,No,
40148010,Yes,No,
40325846,Yes,No,
40335134,Yes,No,
40336181,No,,
40399778,Yes,No,
40413413,Yes,No,
40415093,Yes,No,
40418385,Yes,No,
40419410,No,,
40429377,Yes,No,
40444092,Yes,No,
40437564,Yes,Yes,https://github.com/EnzhaoZhu/Common-risks-prediction-among-psychiatric-inpatients
40453809,No,,
40178109,Yes,No,
40476158,No,,
40487390,Yes,No,
40364621,No,,
40487722,No,,
40507499,Yes,No,
26310398,No,,
26637172,Yes,No,
26977136,Yes,No,
26656350,Yes,No,
27119229,Yes,No,
27832125,Yes,No,
27881078,Yes,No,
27919934,Yes,No,
27941905,Yes,No,
27909038,Yes,No,
27340785,Yes,No,
28334012,Yes,No,
28405845,No,,
28716055,Yes,No,
28848499,Yes,No,
29082001,Yes,No,
29096631,Yes,No,
29264059,No,,
29289936,Yes,No,
29666666,Yes,No,
29628770,Yes,No,
29686230,Yes,No,
29725646,Yes,No,
29859534,Yes,No,
29953553,Yes,No,
29691839,Yes,No,
30205818,Yes,No,
30223800,Yes,No,
28739581,Yes,No,
29869086,Yes,No,
30408081,Yes,No,
30906886,Yes,No,
30860997,Yes,Yes,https://github.com/dt433/Predict-Prostate
30978258,Yes,Yes,https://osf.io/w7aes/
30792532,No,,
31015133,Yes,No,
31419267,Yes,No,
31467622,Yes,No,
31641669,No,,
31478958,Yes,No,
31585960,No,,
31664998,No,,
31678949,Yes,No,
31773057,Yes,No,
31569443,No,,
31711547,No,,
31762804,Yes,No,
31798896,Yes,No,
31857641,Yes,No,
31822546,No,,
31888948,No,,
31917796,Yes,No,
32060165,No,,
32161279,Yes,No,
32238885,Yes,No,
32236529,Yes,No,
32006165,Yes,No,
32241787,Yes,No,
31773234,Yes,No,
32395133,No,,
32314877,Yes,No,
32547138,Yes,No,
32489476,Yes,No,
32505203,Yes,No,
31814209,Yes,No,
32552702,No,,
32118698,Yes,No,
32652981,Yes,No,
32695974,Yes,No,
32823167,Yes,No,
31856292,Yes,No,
33033746,No,,
33057333,Yes,No,
32854242,Yes,No,
33145280,Yes,No,
33117680,Yes,No,
33115905,No,,
33194714,Yes,No,
33177137,No,,
33240642,Yes,No,
33244274,Yes,No,
33299040,Yes,No,
33301451,Yes,No,
33334318,Yes,No,
33334836,No,,
33364802,No,,
33027509,Yes,Yes,https://github.com/carsaesi/covid19sdtool
32170735,No,,
33541387,No,,
33549087,Yes,No,
33569312,Yes,No,
33561116,Yes,No,
32499390,Yes,No,
33579228,Yes,No,
33538696,No,,
33671984,Yes,No,
33658832,Yes,No,
33550267,Yes,No,
33653759,No,,
33693381,Yes,No,
33737679,Yes,No,
33332599,Yes,No,
33669114,No,,
33793591,No,,
33839749,No,,
33889584,Yes,No,
33080066,No,,
33898804,No,,
33947733,No,,
33922991,Yes,No,
34011596,No,,
34095297,Yes,No,
34032855,Yes,No,
34064918,Yes,No,
34035053,Yes,No,
34039572,Yes,No,
34095403,Yes,No,
33359318,No,,
34083734,Yes,Yes,https://github.com/ATARIQ5
34131161,Yes,No,
34163192,Yes,No,
34222669,Yes,No,
34180025,Yes,No,
33823539,Yes,No,
34211028,Yes,No,
32385928,Yes,No,
34244278,Yes,No,
34262866,Yes,No,
34076372,Yes,No,
34281922,Yes,Yes,https://github.com/mottenhoff/covid19_CDSS
34285316,Yes,No,
34308341,No,,
34173914,No,,
34367985,Yes,No,
34430603,Yes,No,
34464848,Yes,No,
34458329,Yes,No,
34439136,Yes,No,
34458209,Yes,No,
34479488,Yes,No,
34513751,No,,
34561194,Yes,No,
34563117,Yes,No,
34167764,Yes,No,
34615477,Yes,No,
34620253,No,,
34624755,Yes,No,
34720536,Yes,No,
34754848,Yes,No,
34715822,No,,
34724973,No,,
35370310,Yes,No,
34019128,No,,
34772750,Yes,Yes,https://github.com/KosorokLab/CovidIBDRiskCalc
34815673,Yes,No,
34820327,Yes,No,
34869483,Yes,No,
34890438,Yes,No,
34966600,Yes,No,
34949229,No,,
34957169,Yes,No,
35005705,Yes,No,
34983764,Yes,No,
35002683,No,,
35005694,No,,
34986546,Yes,No,
35010437,Yes,No,
35034863,Yes,No,
35053506,Yes,No,
35083319,Yes,Yes,https://github.com/AkihiroShiroshita/Prediction-model-for-Pnuemonic-COPD-exacerbation.git
35148170,Yes,No,
35209877,No,,
35228820,Yes,Yes,https://doi.org/10.5281/zenodo.4560078
35192642,Yes,No,
33813627,Yes,Yes,Appendix
35246499,Yes,No,
35199484,Yes,No,
35277130,Yes,No,
35295254,Yes,No,
35300611,Yes,No,
35271304,Yes,Yes,https://github.com/Aneja-Lab-Yale/Aneja-Lab-Public-Adversarial-Imaging
35326526,No,,
35341014,Yes,No,
35362751,Yes,No,
35363794,Yes,No,
35418206,Yes,No,
35453917,No,,
34933327,Yes,No,
35333346,Yes,No,
35534601,Yes,No,
35552440,Yes,No,
35585839,Yes,No,
35592460,No,,
35585563,No,,
35365801,No,,
35683565,Yes,No,
35692976,Yes,No,
35701437,Yes,No,
35720093,Yes,No,
35574959,No,,
34718430,Yes,No,
35812357,Yes,No,
35836981,Yes,No,
35872996,Yes,No,
35857323,Yes,No,
35884499,Yes,No,
35989871,No,,
35922837,No,,
35955022,Yes,No,
35986798,No,,
35984654,No,,
35766180,Yes,No,
36017511,Yes,No,
36035403,Yes,No,
36041761,Yes,No,
36581962,No,,
36071926,No,,
36097585,No,,
36106318,Yes,No,
35981282,Yes,No,
36147974,No,,
28096287,Yes,No,
34673634,Yes,No,
36185465,Yes,No,
36180471,Yes,No,
36203704,Yes,No,
36198462,Yes,No,
36249898,Yes,No,
36253753,Yes,No,
36267640,Yes,No,
36266719,Yes,No,
36289465,Yes,No,
36292251,Yes,No,
35481898,Yes,No,
36339512,Yes,No,
36352095,Yes,No,
35767811,Yes,No,
36371443,Yes,Yes,https://github.com/Dexin-Chen/Pathomics-analysis
36383548,Yes,No,
35906317,No,,
36405263,Yes,No,
36405266,Yes,No,
36424594,Yes,Yes,https://doi.org/10.57770/QTYQZS
36447237,Yes,No,
36518836,Yes,Yes,Appendix
36471238,Yes,Yes,https://github.com/mi-erasmusmc/EmcDementiaModelValidation
36518266,Yes,Yes,Appendix
36531037,No,,
36530210,No,,
36397723,No,,
36589140,Yes,No,
35762278,Yes,No,
36069510,No,,
36680737,Yes,No,
36692813,Yes,Yes,https://github.com/JohnLeo-XJTU/PerLesionDet_for_Oph-The
36457204,Yes,No,
36744131,Yes,No,
36662548,Yes,Yes,https://github.com/jacksoncoki/Emergency-data-processing
36765931,Yes,Yes,https://github.com/LFairleySmith/MyelomaPrediction
36782143,Yes,No,
36812510,Yes,No,
36817916,Yes,No,
36795468,Yes,No,
36826584,Yes,No,
36866292,No,,
36128836,Yes,No,
36874135,Yes,Yes,https://github.com/putzfn/HNLNL_autosegmentation_trained_models
36936595,Yes,No,
36596755,Yes,No,
