PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33634034","A Position Statement on the Utility of Interval Imaging in Standard of Care Brain Tumour Management: Defining the Evidence Gap and Opportunities for Future Research","Booth TC, Thompson G, Bulbeck H, Boele F, Buckley C, Cardoso J, Dos Santos Canas L, Jenkinson D, Ashkan K, Kreindler J, Huskens N, Luis A, McBain C, Mills SJ, Modat M, Morley N, Murphy C, Ourselin S, Pennington M, Powell J, Summers D, Waldman AD, Watts C, Williams M, Grant R, Jenkinson MD.","Front Oncol. 2021 Feb 9;11:620070. doi: 10.3389/fonc.2021.620070. eCollection 2021.","Booth TC","Front Oncol","2021","2021/02/26","PMC7900557","","10.3389/fonc.2021.620070"
"36750951","A novel model for predicting prolonged stay of patients with type-2 diabetes mellitus: a 13-year (2010-2022) multicenter retrospective case-control study","Tan J, Zhang Z, He Y, Yu Y, Zheng J, Liu Y, Gong J, Li J, Wu X, Zhang S, Lin X, Zhao Y, Wu X, Tang S, Chen J, Zhao W.","J Transl Med. 2023 Feb 7;21(1):91. doi: 10.1186/s12967-023-03959-1.","Tan J","J Transl Med","2023","2023/02/08","PMC9903472","","10.1186/s12967-023-03959-1"
"36093555","A LASSO-based survival prediction model for patients with synchronous colorectal carcinomas based on SEER","Xu Y, Wang X, Huang Y, Ye D, Chi P.","Transl Cancer Res. 2022 Aug;11(8):2795-2809. doi: 10.21037/tcr-20-1860.","Xu Y","Transl Cancer Res","2022","2022/09/12","PMC9459507","","10.21037/tcr-20-1860"
"39253399","Multidimensional-Based Prediction of Pressure Ulcers Development and Severity in Hospitalized Frail Oldest Old: A Retrospective Study","Ottaviani S, Rondanina E, Arnone F, Brucato V, Campigli R, Bona MD, Tagliafico L, Ottaviani E, Nencioni A, Monacelli F.","Clin Interv Aging. 2024 Sep 4;19:1509-1517. doi: 10.2147/CIA.S440943. eCollection 2024.","Ottaviani S","Clin Interv Aging","2024","2024/09/10","PMC11381216","","10.2147/CIA.S440943"
"33031337","Development and validation of a 2-year new-onset stroke risk prediction model for people over age 45 in China","Yao Q, Zhang J, Yan K, Zheng Q, Li Y, Zhang L, Wu C, Yang Y, Zhou M, Zhu C.","Medicine (Baltimore). 2020 Oct 9;99(41):e22680. doi: 10.1097/MD.0000000000022680.","Yao Q","Medicine (Baltimore)","2020","2020/10/08","PMC7544427","","10.1097/MD.0000000000022680"
"36692813","Intelligent Diagnosis of Multiple Peripheral Retinal Lesions in Ultra-widefield Fundus Images Based on Deep Learning","Wang T, Liao G, Chen L, Zhuang Y, Zhou S, Yuan Q, Han L, Wu S, Chen K, Wang B, Mi J, Gao Y, Lin J, Zhang M.","Ophthalmol Ther. 2023 Apr;12(2):1081-1095. doi: 10.1007/s40123-023-00651-x. Epub 2023 Jan 24.","Wang T","Ophthalmol Ther","2023","2023/01/24","PMC9872743","","10.1007/s40123-023-00651-x"
"33823539","Development and validation of a novel prediction score for cardiac tamponade in emergency department patients with pericardial effusion","Duanmu Y, Choi DS, Tracy S, Harris OM, Schleifer JI, Dadabhoy FZ, Wu JC, Platz E.","Eur Heart J Acute Cardiovasc Care. 2021 Jun 30;10(5):542-549. doi: 10.1093/ehjacc/zuaa023.","Duanmu Y","Eur Heart J Acute Cardiovasc Care","2021","2021/04/06","PMC8245142","","10.1093/ehjacc/zuaa023"
"29891139","Validation of a clinical scoring system for bovine respiratory disease complex diagnosis in preweaned dairy calves using a Bayesian framework","Buczinski S, Fecteau G, Dubuc J, Francoz D.","Prev Vet Med. 2018 Aug 1;156:102-112. doi: 10.1016/j.prevetmed.2018.05.004. Epub 2018 May 4.","Buczinski S","Prev Vet Med","2018","2018/06/13","PMC7114123","","10.1016/j.prevetmed.2018.05.004"
"35384918","Machine Learning to Predict Successful Opioid Dose Reduction or Stabilization After Spinal Cord Stimulation","Adil SM, Charalambous LT, Rajkumar S, Seas A, Warman PI, Murphy KR, Rahimpour S, Parente B, Dharmapurikar R, Dunn TW, Lad SP.","Neurosurgery. 2022 Aug 1;91(2):272-279. doi: 10.1227/neu.0000000000001969. Epub 2022 Apr 8.","Adil SM","Neurosurgery","2022","2022/04/06","PMC12245366","","10.1227/neu.0000000000001969"
"30523451","Development of a radiomics nomogram based on the 2D and 3D CT features to predict the survival of non-small cell lung cancer patients","Yang L, Yang J, Zhou X, Huang L, Zhao W, Wang T, Zhuang J, Tian J.","Eur Radiol. 2019 May;29(5):2196-2206. doi: 10.1007/s00330-018-5770-y. Epub 2018 Dec 6.","Yang L","Eur Radiol","2019","2018/12/08","","","10.1007/s00330-018-5770-y"
"35192402","Predictive Modeling of Survival and Toxicity in Patients With Hepatocellular Carcinoma After Radiotherapy","Chamseddine I, Kim Y, De B, El Naqa I, Duda DG, Wolfgang J, Pursley J, Paganetti H, Wo J, Hong T, Koay EJ, Grassberger C.","JCO Clin Cancer Inform. 2022 Feb;6:e2100169. doi: 10.1200/CCI.21.00169.","Chamseddine I","JCO Clin Cancer Inform","2022","2022/02/22","PMC8863122","","10.1200/CCI.21.00169"
"37964688","Systematic review and longitudinal analysis of implementing Artificial Intelligence to predict clinical deterioration in adult hospitals: what is known and what remains uncertain","van der Vegt AH, Campbell V, Mitchell I, Malycha J, Simpson J, Flenady T, Flabouris A, Lane PJ, Mehta N, Kalke VR, Decoyna JA, Es'haghi N, Liu CH, Scott IA.","J Am Med Inform Assoc. 2024 Jan 18;31(2):509-524. doi: 10.1093/jamia/ocad220.","van der Vegt AH","J Am Med Inform Assoc","2024","2023/11/15","PMC10797271","","10.1093/jamia/ocad220"
"37208863","Implementation frameworks for end-to-end clinical AI: derivation of the SALIENT framework","van der Vegt AH, Scott IA, Dermawan K, Schnetler RJ, Kalke VR, Lane PJ.","J Am Med Inform Assoc. 2023 Aug 18;30(9):1503-1515. doi: 10.1093/jamia/ocad088.","van der Vegt AH","J Am Med Inform Assoc","2023","2023/05/20","PMC10436156","","10.1093/jamia/ocad088"
"35294369","Machine Learning Prediction Models for Gestational Diabetes Mellitus: Meta-analysis","Zhang Z, Yang L, Han W, Wu Y, Zhang L, Gao C, Jiang K, Liu Y, Wu H.","J Med Internet Res. 2022 Mar 16;24(3):e26634. doi: 10.2196/26634.","Zhang Z","J Med Internet Res","2022","2022/03/16","PMC8968560","","10.2196/26634"
"34679631","Keratoconus Diagnostic and Treatment Algorithms Based on Machine-Learning Methods","Malyugin B, Sakhnov S, Izmailova S, Boiko E, Pozdeyeva N, Axenova L, Axenov K, Titov A, Terentyeva A, Zakaraiia T, Myasnikova V.","Diagnostics (Basel). 2021 Oct 19;11(10):1933. doi: 10.3390/diagnostics11101933.","Malyugin B","Diagnostics (Basel)","2021","2021/10/23","PMC8535111","","10.3390/diagnostics11101933"
"29222685","Prediction of outcome using pretreatment (18)F-FDG PET/CT and MRI radiomics in locally advanced cervical cancer treated with chemoradiotherapy","Lucia F, Visvikis D, Desseroit MC, Miranda O, Malhaire JP, Robin P, Pradier O, Hatt M, Schick U.","Eur J Nucl Med Mol Imaging. 2018 May;45(5):768-786. doi: 10.1007/s00259-017-3898-7. Epub 2017 Dec 9.","Lucia F","Eur J Nucl Med Mol Imaging","2018","2017/12/10","","","10.1007/s00259-017-3898-7"
