PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33937035","Radiomic Analysis to Predict Outcome in Recurrent Glioblastoma Based on Multi-Center MR Imaging From the Prospective DIRECTOR Trial","Vils A, Bogowicz M, Tanadini-Lang S, Vuong D, Saltybaeva N, Kraft J, Wirsching HG, Gramatzki D, Wick W, Rushing E, Reifenberger G, Guckenberger M, Weller M, Andratschke N.","Front Oncol. 2021 Apr 14;11:636672. doi: 10.3389/fonc.2021.636672. eCollection 2021.","Vils A","Front Oncol","2021","2021/05/03","PMC8079773","","10.3389/fonc.2021.636672"
"37551405","Cytogenetic characteristics of and prognosis for acute myeloid leukemia in 107 children","Chen W, Yang J, Chen P.","Asian Biomed (Res Rev News). 2021 Apr 30;15(2):79-89. doi: 10.2478/abm-2021-0010. eCollection 2021 Apr.","Chen W","Asian Biomed (Res Rev News)","2021","2023/08/08","PMC10388776","","10.2478/abm-2021-0010"
"27009394","Radiation oncology in the era of precision medicine","Baumann M, Krause M, Overgaard J, Debus J, Bentzen SM, Daartz J, Richter C, Zips D, Bortfeld T.","Nat Rev Cancer. 2016 Apr;16(4):234-49. doi: 10.1038/nrc.2016.18. Epub 2016 Mar 18.","Baumann M","Nat Rev Cancer","2016","2016/03/25","","","10.1038/nrc.2016.18"
"34986546","Computed tomography-based radiomic model predicts radiological response following stereotactic body radiation therapy in early-stage non-small-cell lung cancer and pulmonary oligo-metastases","Cheung BMF, Lau KS, Lee VHF, Leung TW, Kong FS, Luk MY, Yuen KK.","Radiat Oncol J. 2021 Dec;39(4):254-264. doi: 10.3857/roj.2021.00311. Epub 2021 Oct 26.","Cheung BMF","Radiat Oncol J","2021","2022/01/05","PMC8743458","","10.3857/roj.2021.00311"
"30891794","Combining handcrafted features with latent variables in machine learning for prediction of radiation-induced lung damage","Cui S, Luo Y, Tseng HH, Ten Haken RK, El Naqa I.","Med Phys. 2019 May;46(5):2497-2511. doi: 10.1002/mp.13497. Epub 2019 Apr 8.","Cui S","Med Phys","2019","2019/03/21","PMC6510637","NIHMS1019514","10.1002/mp.13497"
"33634034","A Position Statement on the Utility of Interval Imaging in Standard of Care Brain Tumour Management: Defining the Evidence Gap and Opportunities for Future Research","Booth TC, Thompson G, Bulbeck H, Boele F, Buckley C, Cardoso J, Dos Santos Canas L, Jenkinson D, Ashkan K, Kreindler J, Huskens N, Luis A, McBain C, Mills SJ, Modat M, Morley N, Murphy C, Ourselin S, Pennington M, Powell J, Summers D, Waldman AD, Watts C, Williams M, Grant R, Jenkinson MD.","Front Oncol. 2021 Feb 9;11:620070. doi: 10.3389/fonc.2021.620070. eCollection 2021.","Booth TC","Front Oncol","2021","2021/02/26","PMC7900557","","10.3389/fonc.2021.620070"
"34035068","OCaMIR-A Noninvasive, Diagnostic Signature for Early-Stage Ovarian Cancer: A Multi-cohort Retrospective and Prospective Study","Kandimalla R, Wang W, Yu F, Zhou N, Gao F, Spillman M, Moukova L, Slaby O, Salhia B, Zhou S, Wang X, Goel A.","Clin Cancer Res. 2021 Aug 1;27(15):4277-4286. doi: 10.1158/1078-0432.CCR-21-0267. Epub 2021 May 25.","Kandimalla R","Clin Cancer Res","2021","2021/05/26","PMC10327469","NIHMS1911059","10.1158/1078-0432.CCR-21-0267"
"35969034","Reply to ""Survival analysis in a prediction model for early systemic recurrence in breast cancer""","Osako T, Matsuura M, Tsuda H, Noguchi S.","Cancer. 2022 Oct;128(20):3745-3746. doi: 10.1002/cncr.34415. Epub 2022 Aug 15.","Osako T","Cancer","2022","2022/08/15","PMC10286758","","10.1002/cncr.34415"
"28765099","Individual Prognosis of Symptom Burden and Functioning in Chronic Diseases: A Generic Method Based on Patient-Reported Outcome (PRO) Measures","Hjollund NHI.","J Med Internet Res. 2017 Aug 1;19(8):e278. doi: 10.2196/jmir.8111.","Hjollund NHI","J Med Internet Res","2017","2017/08/03","PMC5558046","","10.2196/jmir.8111"
"39724211","Development of a diagnostic multivariable prediction model of a positive SARS-CoV-2 RT-PCR result in healthcare workers with suspected SARS-CoV-2 infection in hospital settings","Valderrama-Beltrán SL, Cuervo-Rojas J, Rondón M, Montealegre-Diaz JS, Vera JD, Martinez-Vernaza S, Bonilla A, Molineros C, Fierro V, Moreno A, Villalobos L, Ariza B, Álvarez-Moreno C.","PLoS One. 2024 Dec 26;19(12):e0316207. doi: 10.1371/journal.pone.0316207. eCollection 2024.","Valderrama-Beltrán SL","PLoS One","2024","2024/12/26","PMC11670996","","10.1371/journal.pone.0316207"
"30038647","ENT COBRA ONTOLOGY: the covariates classification system proposed by the Head & Neck and Skin GEC-ESTRO Working Group for interdisciplinary standardized data collection in head and neck patient cohorts treated with interventional radiotherapy (brachytherapy)","Tagliaferri L, Budrukkar A, Lenkowicz J, Cambeiro M, Bussu F, Guinot JL, Hildebrandt G, Johansson B, Meyer JE, Niehoff P, Rovirosa A, Takácsi-Nagy Z, Boldrini L, Dinapoli N, Lanzotti V, Damiani A, Gatta R, Fionda B, Lancellotta V, Soror T, Monge RM, Valentini V, Kovács G.","J Contemp Brachytherapy. 2018 Jun;10(3):260-266. doi: 10.5114/jcb.2018.76982. Epub 2018 Jun 30.","Tagliaferri L","J Contemp Brachytherapy","2018","2018/07/25","PMC6052377","","10.5114/jcb.2018.76982"
"35702399","Bias and Reporting Quality of Clinical Prognostic Models for Idiopathic Pulmonary Fibrosis: A Cross-Sectional Study","Di J, Li X, Yang J, Li L, Yu X.","Risk Manag Healthc Policy. 2022 Jun 8;15:1189-1201. doi: 10.2147/RMHP.S357606. eCollection 2022.","Di J","Risk Manag Healthc Policy","2022","2022/06/15","PMC9188804","","10.2147/RMHP.S357606"
"39705275","Development and validation of a risk assessment model for predicting the failure of early medical abortions: A clinical prediction model study based on a systematic review and meta-analysis","Liu AH, Xu B, Li XW, Yu YW, Guan HX, Sun XL, Lin YZ, Zhang LL, Zhuo XD, Li J, Chen WQ, Hu WF, Ye MZ, Huang XM, Chen X.","PLoS One. 2024 Dec 20;19(12):e0315025. doi: 10.1371/journal.pone.0315025. eCollection 2024.","Liu AH","PLoS One","2024","2024/12/20","PMC11661585","","10.1371/journal.pone.0315025"
"33693381","Robust Machine Learning for Colorectal Cancer Risk Prediction and Stratification","Nartowt BJ, Hart GR, Muhammad W, Liang Y, Stark GF, Deng J.","Front Big Data. 2020 Mar 10;3:6. doi: 10.3389/fdata.2020.00006. eCollection 2020.","Nartowt BJ","Front Big Data","2020","2021/03/11","PMC7931964","","10.3389/fdata.2020.00006"
"31420360","Nomogram to Predict the Benefit of Intensive Treatment for Locoregionally Advanced Head and Neck Cancer","Mell LK, Shen H, Nguyen-Tân PF, Rosenthal DI, Zakeri K, Vitzthum LK, Frank SJ, Schiff PB, Trotti AM 3rd, Bonner JA, Jones CU, Yom SS, Thorstad WL, Wong SJ, Shenouda G, Ridge JA, Zhang QE, Le QT.","Clin Cancer Res. 2019 Dec 1;25(23):7078-7088. doi: 10.1158/1078-0432.CCR-19-1832. Epub 2019 Aug 16.","Mell LK","Clin Cancer Res","2019","2019/08/18","PMC7028339","NIHMS1537823","10.1158/1078-0432.CCR-19-1832"
"32175659","Specific requirements for translation of biological research into clinical radiation oncology","Krause M, Alsner J, Linge A, Bütof R, Löck S, Bristow R.","Mol Oncol. 2020 Jul;14(7):1569-1576. doi: 10.1002/1878-0261.12671. Epub 2020 Apr 8.","Krause M","Mol Oncol","2020","2020/03/17","PMC7332213","","10.1002/1878-0261.12671"
"38499651","Prediction model and assessment of malnutrition in patients with stable chronic obstructive pulmonary disease","Shen X, Qian R, Wei Y, Tang Z, Zhong H, Huang J, Zhang X.","Sci Rep. 2024 Mar 18;14(1):6508. doi: 10.1038/s41598-024-56747-2.","Shen X","Sci Rep","2024","2024/03/19","PMC10948850","","10.1038/s41598-024-56747-2"
"33204028","Deep learning in cancer pathology: a new generation of clinical biomarkers","Echle A, Rindtorff NT, Brinker TJ, Luedde T, Pearson AT, Kather JN.","Br J Cancer. 2021 Feb;124(4):686-696. doi: 10.1038/s41416-020-01122-x. Epub 2020 Nov 18.","Echle A","Br J Cancer","2021","2020/11/18","PMC7884739","","10.1038/s41416-020-01122-x"
"32373717","Reporting guideline checklists are not quality evaluation forms: they are guidance for writing","Logullo P, MacCarthy A, Kirtley S, Collins GS.","Health Sci Rep. 2020 May 3;3(2):e165. doi: 10.1002/hsr2.165. eCollection 2020 Jun.","Logullo P","Health Sci Rep","2020","2020/05/07","PMC7196677","","10.1002/hsr2.165"
"37013114","A Prediction Nomogram for Recurrent Retinal Detachment","Zhou Y, Lu Q, Chen Z, Lu P.","Risk Manag Healthc Policy. 2023 Mar 28;16:479-488. doi: 10.2147/RMHP.S403136. eCollection 2023.","Zhou Y","Risk Manag Healthc Policy","2023","2023/04/04","PMC10066632","","10.2147/RMHP.S403136"
"40435317","Advanced predictive modeling for enhanced mortality prediction in ICU stroke patients using clinical data","Abdollahi A, Ashrafi N, Ma X, Zhang J, Wu D, Wu T, Ye Z, Pishgar M.","PLoS One. 2025 May 28;20(5):e0323441. doi: 10.1371/journal.pone.0323441. eCollection 2025.","Abdollahi A","PLoS One","2025","2025/05/28","PMC12118975","","10.1371/journal.pone.0323441"
"33661939","Development and validation of a predictive model of in-hospital mortality in COVID-19 patients","Velasco-Rodríguez D, Alonso-Dominguez JM, Vidal Laso R, Lainez-González D, García-Raso A, Martín-Herrero S, Herrero A, Martínez Alfonzo I, Serrano-López J, Jiménez-Barral E, Nistal S, Pérez Márquez M, Askari E, Castillo Álvarez J, Núñez A, Jiménez Rodríguez Á, Heili-Frades S, Pérez-Calvo C, Górgolas M, Barba R, Llamas-Sillero P.","PLoS One. 2021 Mar 4;16(3):e0247676. doi: 10.1371/journal.pone.0247676. eCollection 2021.","Velasco-Rodríguez D","PLoS One","2021","2021/03/04","PMC7932507","","10.1371/journal.pone.0247676"
"30677016","Predicting survival from colorectal cancer histology slides using deep learning: A retrospective multicenter study","Kather JN, Krisam J, Charoentong P, Luedde T, Herpel E, Weis CA, Gaiser T, Marx A, Valous NA, Ferber D, Jansen L, Reyes-Aldasoro CC, Zörnig I, Jäger D, Brenner H, Chang-Claude J, Hoffmeister M, Halama N.","PLoS Med. 2019 Jan 24;16(1):e1002730. doi: 10.1371/journal.pmed.1002730. eCollection 2019 Jan.","Kather JN","PLoS Med","2019","2019/01/25","PMC6345440","","10.1371/journal.pmed.1002730"
"27404456","Prognostic nomogram and score to predict overall survival in locally advanced untreated pancreatic cancer (PROLAP)","Vernerey D, Huguet F, Vienot A, Goldstein D, Paget-Bailly S, Van Laethem JL, Glimelius B, Artru P, Moore MJ, André T, Mineur L, Chibaudel B, Benetkiewicz M, Louvet C, Hammel P, Bonnetain F.","Br J Cancer. 2016 Jul 26;115(3):281-9. doi: 10.1038/bjc.2016.212. Epub 2016 Jul 12.","Vernerey D","Br J Cancer","2016","2016/07/13","PMC4973163","","10.1038/bjc.2016.212"
"35484597","Simulation CT-based radiomics for prediction of response after neoadjuvant chemo-radiotherapy in patients with locally advanced rectal cancer","Bonomo P, Socarras Fernandez J, Thorwarth D, Casati M, Livi L, Zips D, Gani C.","Radiat Oncol. 2022 Apr 28;17(1):84. doi: 10.1186/s13014-022-02053-y.","Bonomo P","Radiat Oncol","2022","2022/04/28","PMC9052564","","10.1186/s13014-022-02053-y"
"33344243","Delta Radiomics Can Predict Distant Metastasis in Locally Advanced Rectal Cancer: The Challenge to Personalize the Cure","Chiloiro G, Rodriguez-Carnero P, Lenkowicz J, Casà C, Masciocchi C, Boldrini L, Cusumano D, Dinapoli N, Meldolesi E, Carano D, Damiani A, Barbaro B, Manfredi R, Valentini V, Gambacorta MA.","Front Oncol. 2020 Dec 3;10:595012. doi: 10.3389/fonc.2020.595012. eCollection 2020.","Chiloiro G","Front Oncol","2020","2020/12/21","PMC7744725","","10.3389/fonc.2020.595012"
"39258166","Particle Beam Radiobiology Status and Challenges: A PTCOG Radiobiology Subcommittee Report","Ahmad R, Barcellini A, Baumann K, Benje M, Bender T, Bragado P, Charalampopoulou A, Chowdhury R, Davis AJ, Ebner DK, Eley J, Kloeber JA, Mutter RW, Friedrich T, Gutierrez-Uzquiza A, Helm A, Ibáñez-Moragues M, Iturri L, Jansen J, Morcillo MÁ, Puerta D, Kokko AP, Sánchez-Parcerisa D, Scifoni E, Shimokawa T, Sokol O, Story MD, Thariat J, Tinganelli W, Tommasino F, Vandevoorde C, von Neubeck C.","Int J Part Ther. 2024 Aug 8;13:100626. doi: 10.1016/j.ijpt.2024.100626. eCollection 2024 Sep.","Ahmad R","Int J Part Ther","2024","2024/09/11","PMC11386331","","10.1016/j.ijpt.2024.100626"
"33971530","Robust prediction of mortality of COVID-19 patients based on quantitative, operator-independent, lung CT densitometry","Mori M, Palumbo D, De Lorenzo R, Broggi S, Compagnone N, Guazzarotti G, Giorgio Esposito P, Mazzilli A, Steidler S, Pietro Vitali G, Del Vecchio A, Rovere Querini P, De Cobelli F, Fiorino C.","Phys Med. 2021 May;85:63-71. doi: 10.1016/j.ejmp.2021.04.022. Epub 2021 Apr 30.","Mori M","Phys Med","2021","2021/05/10","PMC8084622","","10.1016/j.ejmp.2021.04.022"
"38225255","An updated PREDICT breast cancer prognostic model including the benefits and harms of radiotherapy","Grootes I, Wishart GC, Pharoah PDP.","NPJ Breast Cancer. 2024 Jan 15;10(1):6. doi: 10.1038/s41523-024-00612-y.","Grootes I","NPJ Breast Cancer","2024","2024/01/15","PMC10789872","","10.1038/s41523-024-00612-y"
"35117107","Cholangiocarcinoma: the quest for a second-line systemic treatment","Vienot A, Neuzillet C.","Transl Cancer Res. 2019 Apr;8(Suppl 3):S275-S288. doi: 10.21037/tcr.2018.10.05.","Vienot A","Transl Cancer Res","2019","2022/02/04","PMC8797902","","10.21037/tcr.2018.10.05"
"37671139","Assessment of bleeding risk in cancer patients treated with anticoagulants for venous thromboembolic events","Poénou G, Tolédano E, Helfer H, Plaisance L, Happe F, Versini E, Diab N, Djennaoui S, Mahé I.","Front Cardiovasc Med. 2023 Aug 21;10:1132156. doi: 10.3389/fcvm.2023.1132156. eCollection 2023.","Poénou G","Front Cardiovasc Med","2023","2023/09/06","PMC10475592","","10.3389/fcvm.2023.1132156"
"33125260","A computed tomography-based nomogram to predict pneumothorax caused by preoperative localization of ground glass nodules using hook wire","Liu J, Liang C, Wang X, Sun M, Kang L.","Br J Radiol. 2021 Jan 1;94(1117):20200633. doi: 10.1259/bjr.20200633. Epub 2020 Nov 5.","Liu J","Br J Radiol","2021","2020/10/30","PMC7774691","","10.1259/bjr.20200633"
"36531037","Construction of machine learning-based models for cancer outcomes in low and lower-middle income countries: A scoping review","Adeoye J, Akinshipo A, Koohi-Moghadam M, Thomson P, Su YX.","Front Oncol. 2022 Dec 1;12:976168. doi: 10.3389/fonc.2022.976168. eCollection 2022.","Adeoye J","Front Oncol","2022","2022/12/19","PMC9751812","","10.3389/fonc.2022.976168"
"40401232","Machine learning-based assessment of seizure risk predictors in myelomeningocele patients: A single-center retrospective cohort study","Al Rifai M, Jarrar S, Barbarawi M, Jamous M, Daoud S, Jaradat A, Ghammaz O, Hatem Abulsebaa B, Alsumadi Q, Ali Shibli T, Osamah Alqudah A.","Qatar Med J. 2025 Mar 13;2025(1):15. doi: 10.5339/qmj.2025.15. eCollection 2025.","Al Rifai M","Qatar Med J","2025","2025/05/22","PMC12093402","","10.5339/qmj.2025.15"
"32142107","Cardiac magnetic resonance radiomics: basic principles and clinical perspectives","Raisi-Estabragh Z, Izquierdo C, Campello VM, Martin-Isla C, Jaggi A, Harvey NC, Lekadir K, Petersen SE.","Eur Heart J Cardiovasc Imaging. 2020 Apr 1;21(4):349-356. doi: 10.1093/ehjci/jeaa028.","Raisi-Estabragh Z","Eur Heart J Cardiovasc Imaging","2020","2020/03/07","PMC7082724","","10.1093/ehjci/jeaa028"
"33721978","A risk prediction score to identify patients at low risk for COVID-19 infection","Chew WM, Loh CH, Jalali A, En Fong GS, Kumar LS, Zhen Sim RH, Tan RP, Gill SR, Liang TR, Kwang Koh JM, Tay TR.","Singapore Med J. 2022 Aug;63(8):426-432. doi: 10.11622/smedj.2021019. Epub 2021 Mar 12.","Chew WM","Singapore Med J","2022","2021/03/16","PMC9584071","","10.11622/smedj.2021019"
"30132054","PET-based prognostic survival model after radiotherapy for head and neck cancer","Castelli J, Depeursinge A, Devillers A, Campillo-Gimenez B, Dicente Y, Prior JO, Chajon E, Jegoux F, Sire C, Acosta O, Gherga E, Sun X, De Bari B, Bourhis J, de Crevoisier R.","Eur J Nucl Med Mol Imaging. 2019 Mar;46(3):638-649. doi: 10.1007/s00259-018-4134-9. Epub 2018 Aug 21.","Castelli J","Eur J Nucl Med Mol Imaging","2019","2018/08/23","","","10.1007/s00259-018-4134-9"
"36892600","Five-year follow-up mortality prognostic index for colorectal patients","Orive M, Barrio I, Lázaro S, Gonzalez N, Bare M, de Larrea NF, Redondo M, Cortajarena S, Bilbao A, Aguirre U, Sarasqueta C, Quintana JM; REDISSEC-CARESS/CCR group.","Int J Colorectal Dis. 2023 Mar 9;38(1):64. doi: 10.1007/s00384-023-04358-0.","Orive M","Int J Colorectal Dis","2023","2023/03/09","PMC9998584","","10.1007/s00384-023-04358-0"
"39046568","Interpretable machine learning model based on clinical factors for predicting muscle radiodensity loss after treatment in ovarian cancer","Lin WC, Weng CS, Ko AT, Jan YT, Lin JB, Wu KP, Lee J.","Support Care Cancer. 2024 Jul 24;32(8):544. doi: 10.1007/s00520-024-08757-z.","Lin WC","Support Care Cancer","2024","2024/07/24","","","10.1007/s00520-024-08757-z"
"36480094","Development and validation of a nomogram to predict poor short-term response to recombinant human growth hormone treatment in children with growth disorders","Feng YD, Wang J, Tao ZB, Jiang HK.","J Endocrinol Invest. 2023 Jul;46(7):1343-1359. doi: 10.1007/s40618-022-01979-0. Epub 2022 Dec 8.","Feng YD","J Endocrinol Invest","2023","2022/12/08","","","10.1007/s40618-022-01979-0"
"33033746","A study protocol for the development of a multivariable model predicting 6- and 12-month mortality for people with dementia living in residential aged care facilities (RACFs) in Australia","Bicknell R, Lim WK, Maier AB, LoGiuidice D.","Diagn Progn Res. 2020 Oct 7;4:17. doi: 10.1186/s41512-020-00085-0. eCollection 2020.","Bicknell R","Diagn Progn Res","2020","2020/10/09","PMC7538167","","10.1186/s41512-020-00085-0"
"36381326","A microRNA signature for clinical outcomes of pediatric ALL patients treated with TPOG protocols","Chang YH, Jou ST, Yen CT, Lin CY, Yu CH, Chang SK, Lu MY, Chang HH, Pai CH, Hu CY, Lin KH, Lin SR, Lin DT, Chen HY, Yang YL, Lin SW, Yu SL.","Am J Cancer Res. 2022 Oct 15;12(10):4764-4774. eCollection 2022.","Chang YH","Am J Cancer Res","2022","2022/11/16","PMC9641388","",""
"34104207","A novel HBsAg-based model for predicting significant liver fibrosis among Chinese patients with immune-tolerant phase chronic hepatitis B: a multicenter retrospective study","Zeng DW, Huang ZX, Lin MX, Kang NL, Lin X, Li YN, Zhu YY, Liu YR.","Therap Adv Gastroenterol. 2021 May 29;14:17562848211010675. doi: 10.1177/17562848211010675. eCollection 2021.","Zeng DW","Therap Adv Gastroenterol","2021","2021/06/09","PMC8165523","","10.1177/17562848211010675"
"35976907","Deep learning can predict survival directly from histology in clear cell renal cell carcinoma","Wessels F, Schmitt M, Krieghoff-Henning E, Kather JN, Nientiedt M, Kriegmair MC, Worst TS, Neuberger M, Steeg M, Popovic ZV, Gaiser T, von Kalle C, Utikal JS, Fröhling S, Michel MS, Nuhn P, Brinker TJ.","PLoS One. 2022 Aug 17;17(8):e0272656. doi: 10.1371/journal.pone.0272656. eCollection 2022.","Wessels F","PLoS One","2022","2022/08/17","PMC9385058","","10.1371/journal.pone.0272656"
"33117669","Application of Radiomics for the Prediction of Radiation-Induced Toxicity in the IMRT Era: Current State-of-the-Art","Desideri I, Loi M, Francolini G, Becherini C, Livi L, Bonomo P.","Front Oncol. 2020 Oct 6;10:1708. doi: 10.3389/fonc.2020.01708. eCollection 2020.","Desideri I","Front Oncol","2020","2020/10/29","PMC7574641","","10.3389/fonc.2020.01708"
"28327203","An appraisal of analytical tools used in predicting clinical outcomes following radiation therapy treatment of men with prostate cancer: a systematic review","Raymond E, O'Callaghan ME, Campbell J, Vincent AD, Beckmann K, Roder D, Evans S, McNeil J, Millar J, Zalcberg J, Borg M, Moretti K.","Radiat Oncol. 2017 Mar 21;12(1):56. doi: 10.1186/s13014-017-0786-z.","Raymond E","Radiat Oncol","2017","2017/03/23","PMC5359887","","10.1186/s13014-017-0786-z"
